isbn13,title,authors,description,category,category_confidence,emotion,emotion_confidence,human_category_label,human_emotion_label
,The Legacy of Barack Obama,"Barack Obama, White House, U.S. Government","The Legacy of Barack Obama offers a profound examination of the multifaceted impact of Barack Obama's presidency through a collection of insightful essays and reflections. This anthology delves into overarching themes of hope, change, and progress, capturing the essence of a transformative era in American politics. Through a rich tapestry of literary styles, from analytical essays to personal reflections, the collection provides a comprehensive exploration of Obama's legacy. It thoughtfully illuminates the diverse perspectives on his policies and leadership, while standout pieces highlight pivotal moments and influential policies that defined his time in office. This collection is curated by contributors with a wealth of experience and insights garnered from direct involvement in, or close observation of, the Obama administration. The authors, including members from the White House and various government entities, bring forth their unique experiences and perspectives, contributing to a broader understanding of the sociopolitical climate that characterized Obama's years in office. The assembled voices reflect a cross-section of academic, political, and cultural discourse, offering a multilayered narrative that aligns with contemporary discussions on leadership, race, and democracy. Recommended for scholars, students, and anyone with an interest in political history and leadership, The Legacy of Barack Obama presents a rare opportunity to explore the multifaceted dimensions of a presidency that reshaped America. This anthology invites readers to engage with a diverse range of thought-provoking insights that foster dialogue and deeper understanding. Its educational value is underscored by the breadth of perspectives, making it an essential resource for those seeking to comprehend the nuanced legacy of one of the 21st century's pivotal leaders.",Academia,0.4905439913272857,neutral,0.6231453779605783,,
,The Cyclopedia of American Biography,"James Edward Homans, Herbert M. Linen, L. E. Dearborn",,Academia,0.3536357581615448,neutral,0.9156719640804168,,
9780199999583,Music Theory through Musical Theatre,John Franceschina,"Music Theory through Musical Theatre provides a way of teaching music theory by way of musical theatre. Not simply a traditional music theory text, the book tackles the theoretical foundations of musical theatre and musical theatre literature with an emphasis on preparing students for a professional career.",Academia,0.408770352602005,joy,0.4669566596913942,,
9780226319025,Music Theory and the Exploration of the Past,"Christopher Hatch, David W. Bernstein","In recent decades, increased specialization has sharply separated music theory from historical musicology. Music Theory and the Exploration of the Past brings together a group of essays—written by theorists and musicologists—that seek to bridge this gap. This collection shows that music theory can join forces with historical musicology to produce a more humanistic form of musical scholarship. In nineteen essays dealing with musical theories from the twelfth to the twentieth century, two recurring themes emerge. One is the need to understand the historical circumstances of the writing and reception of theory, a humanistic approach that gives theory a place within social and intellectual history. The other is the advantages of applying contemporaneous theory to the music of a given period, thus linking theory to the history of musical styles and structures. The periods given principal attention in these essays are the Renaissance, the years around 1800, and the twentieth century. Abundantly illustrated with musical examples, Music Theory and the Exploration of the Past offers models of new practical applications of theory to the analysis of music. At the same time, it raises the broader question of how historical knowledge can deepen the understanding of an art and of systematic writings about that art.",Academia,0.4123057723045349,neutral,0.9071544815805748,,
9781544358659,Social Problems,"Maxine P. Atkinson, Kathleen Odell Korgen, Mary Nell Trautner","As part of SAGE's ""Sociology in Action"" series, Sociology In Action: Social Problems will engage students in active learning in class, on their own, and in their local communities, as they explore a range of social problems and consider sociological solutions to issues facing society today. The text is ideal for instructors who want to rely less on lecturing and more on discussion, collaboration, self-directed investigation, observation, analysis, and reflection.",Academia,0.3986844420433044,neutral,0.5515028815938319,,
,Syllabus for the Study of Book Selection for Use in Connection with Library Service 271,Columbia University. School of Library Service,,Academia,0.7180137634277344,neutral,0.8927602022845572,,
,"Belfast library and society for promoting knowledge, Linen hall library. General catalogue. [With] Suppl. catal",George Smith,,Academia,0.9317080974578856,neutral,0.9202312088234816,,
9781400034710,Chronicle of a Death Foretold,Gabriel Garcia Marquez,"The Nobel laureate weaves a story of a fantastic wedding, the return of the bride to her parents, her brothers' resolve to murder her corruptor, and the townspeoples' refusal to depart from routine.",Fiction,0.9955539107322692,joy,0.6417801035666818,,
9780553233506,Slim Down Camp,Stephen Manes,"Sent to a summer camp for overweight children, a boy and girl rebel against the camp's authorities and discover their own effective method of losing weight.",Fiction,0.5660663843154907,neutral,0.594706721081815,,
,Searching for Faith (A Carissa Jones Crime Thriller) A psychological thriller,"K.L. Middleton, Kristen Middleton, Cassie Alexandra","SALE - SPECIAL PRICING WON'T LAST! A spine-tingling, edge-of-your-seat thriller by NY Times Bestselling Author, Kristen Middleton. Readers: ""What would you do if your mind was broken? Carissa is psychic and is seeing visions of a child in danger. She goes above and beyond what many people would do. Great book! I finished it in one day because I couldn't put it down."" - Amazon reviewer ""I love mystery's and this was a great nail bitter . When children are involved it's hard to put down . There were twists and turns that I didn't see coming ! Great characters and good blot ! I'll be looking for more by Kristen Middleton!"" - Amazon reviewer A missing child. A gifted psychic. A serial killer who preys on the innocent. When a seven-year-old girl goes missing near Two Harbors, Minnesota, psychic Carissa Jones offers to help locate her. Desperate to find the child, and with no real leads, the local authorities agree to pull her into the case. This is book one in The Missing series. Each story will focus on Carissa Jones and her involvement in each case. keywords: crime thriller, psychological thriller, serial killer,child abduction cases, psychic sleuth, paranormal mystery, crime series, serial killer series, detective novels, abduction crime thriller, adventure, who-done-it mystery, Keywords: crime mystery, police procedural, female detective mystery, mysteries, thrillers, suspense thriller, cozy mysteries, Ponzi scheme, New York Times bestselling mystery series, Jennifer McMahon, Marc Cameron, Brad Thor, dementia, alzheimers, heist, kidnapping, blood diamonds, money laundering, forensic accountant, forensic accounting, fraud, white collar crime, crime, female sleuth, private investigators, cartels, wall street, financial thriller, international mystery thriller, suspense thriller, legal thriller, hard-boiled, suspense, new world order thriller, bilderberg, melissa f. miller, patricia mclinn, denise grover swank, veronica mars, rob thomas, conspiracy, mystery, cozy mysteries, the girl on the train, gone girl, cozy mystery books, cozy murder mysteries, cozies, private detective, women sleuths, boots, ebooks, vigilante justice, revenge, accounting, finance, gone girl, robert brynzda, jenny blackhurst, ann rule, daniel silva, iris johansen, david rosenfeldt, roger stelljes, dennis lehane, tanya anne crosby, Gillian Flynn, Colleen, Cross, Greg Iles, James Patterson, bookshots, tess gerritsen, joy fielding, sandra brown, girl on the train, paula hawkins, suspense, women's murder club, Michael Connelly, John Grisham, Karin Slaughter, Diane Capri, Lisa Jackson, David Baldacci, J A Jance, cj box, david baldacci, john sandford, stuart woods, jeffrey deaver, estelle ryan, michael palmer, joanne fluke, iris johansen, stig larson, stig larsson, jo nesbo, john lescroart, jessica knoll, brad thor, vince flynn, scott turow, louise penny, charlaine harris, patrica cornwell, Tess Gerritsen, Lisa Scottoline, Kathy Reichs, Lee Child, Harlan Coben, Aaron Patterson, Lisa Jackson, Heather Graham, Ryan Casey, Sean Black, sue grafton, kendra elliot, melinda leigh, nelson demille, michael wallace, john sandford, j d robb, nora roberts, david morell, mary higgins clark, lee child, charlaine harris, louise penny, scott turow, bestsellers, best sellers, finance, mystery books, auditing, money, legal thriller, crime thrillers, forensics, whistleblower, due diligence, hard-boiled, police procedural, suspense, traditional british, women sleuths, true crime, romantic suspense, cozy mystery, strong female leads, technological thriller, medical thriller, cj lyons, elizabeth george, mystery thriller, series, noir, hard-boiled, mysteries, action adventure, suspense books, crime books, thriller books, noir, traditional british, mysteries, thrillers, action, adventure, mysteries, thriller stories to keep you up all night, best mystery books, best mystery novels, mystery author, mystery series, mystery books, mystery novels, mystery novels 2014, sweet cozy mysteries, sweet cozy mystery, murder mystery, murder mysteries, best crime novels, crime fiction, crime thrillers, krimi, bestselling mystery books, fraud audit, whistle blower, whodunit, mystery, action adventure, avalanche, bestselling mysteries, bestselling thrillers, vancouver, british columbia, sunshine coast, cosy, cosies, best sellers, the lake house, 007, detective stories Keywords: mystery, mysteries, thrillers, cozy mysteries, Ponzi scheme, dementia, alzheimers, heist, kidnapping, blood diamonds, money laundering, forensic accountant, forensic accounting, fraud, white collar crime, crime, female sleuth, private investigators, cartels, wall street, financial thriller, international mystery thriller, new world order thriller, bilderberg, conspiracy, mystery, cozy mysteries, cozy mystery books, cozy murder mysteries, cozies, private detective, women sleuths, boots, ebooks, vigilante justice, revenge, accounting, finance, gone girl, Gillian Flynn, Colleen, cross, Greg Iles, James Patterson, joy fielding, sandra brown, girl on the train, paula hawkins, women's murder club, Michael Connelly, John Grisham, Karin Slaughter, Diane Capri, Lisa Jackson, David Baldacci, J A Jance, cj box, david baldacci, john sandford, stuart woods, jeffrey deaver, estelle ryan, michael palmer, joanne fluke, iris johansen, stig larson, stig larsson, jo nesbo, john lescroart, jessica knoll, brad thor, vince flynn, scott turow, louise penny, charlaine harris, patrica cornwell, Tess Gerritsen, Lisa Scottoline, Kathy Reichs, Lee Child, Harlan Coben, Aaron Patterson, Lisa Jackson, Heather Graham, Ryan Casey, Sean Black, sue grafton, kendra elliot, melinda leigh, nelson demille, michael wallace, john sandford, j d robb, nora roberts, david morell, mary higgins clark, lee child, charlaine harris, louise penny, scott turow, bestsellers, best sellers, finance, mystery books, auditing, money, legal thriller, crime thrillers, forensics, whistleblower, due diligence, hard-boiled, police procedural, suspense, traditional british, women sleuths, true crime, romantic suspense, cozy mystery, strong female leads, technological thriller, medical thriller, cj lyons, elizabeth george, mystery thriller, series, noir, hard-boiled, mysteries, action adventure, suspense books, crime books, thriller books, noir, traditional british, mysteries, thrillers, action, adventure, mysteries, thriller stories to keep you up all night, best mystery books, best mystery novels, mystery author, mystery series, mystery books, mystery novels, mystery novels 2014, sweet cozy mysteries, sweet cozy mystery, murder mystery, murder mysteries, best crime novels, crime fiction, crime thrillers, krimi, bestselling mystery books, fraud audit, whistle blower, whodunit, mystery, action adventure, avalanche, bestselling mysteries, bestselling thrillers, vancouver, british columbia, sunshine coast, cosy, cosies, best sellers, the lake house, 007, detective stories, legal thriller, ebook, kindle, online books, suspense novels, novel, crime books, crime thriller books, fiction books, courtroom drama authors, jenny blackhurst, ann rule crime thriller, new thrillers, 2017 thrillers, crime and thriller books, crime thriller novels, english readers, romantic thriller books, lawyer romance books, latest thrillers, audio books thrillers, thriller ebooks, kindle classic, classic thrillers, recent thrillers, british thriller books, books crime thrillers, financial thrillers, lawyer romance novels, legal romance novels, thriller books pdf, christian thrillers, latest crime thrillers, ebooks in french, pulp thriller, crime thriller, crime books, crime thriller books, crime mystery books, suspense novels, thriller stories, mysterious novels, top crime books, new crime thriller books, new thrillers, 2017 thrillers, murder mystery writers, latest crime thriller books, crime and thriller books, good crime thriller books, crime writers, crime thriller novels, crime thriller books best sellers, top crime thriller books, suspense thriller novels, thriller story books, mystery crime books, crime books fiction, fiction crime books, latest thrillers, crime drama books, thriller story books in english, good thriller books for young adults, good crime mystery books, mystery and crime books, new thrillers, crime thriller authors, british thriller books, mystery authors best sellers, detective story books, good mystery book series, best selling crime thriller books, good books mystery suspense, crime detective books, romantic thriller books, good mystery authors, crime thriller writers, detective thriller movies, new mystery fiction, thriller crime books, crime novelists, crime mystery novels, books crime thrillers, suspense books to read, new suspense novels, detective mystery novels, fiction mystery authors, thriller ebooks, good suspense novels, crime thriller book series, thriller crime, best selling suspense novels, books crime, most popular detective novels, good mystery crime books, great mystery authors, detective thriller, mystery detective novels, crime mystery thriller books, thriller bestsellers, most popular crime books, top crime mystery books, mystery fiction authors, great detective books, bestsellers thrillers, top crime authors, new crime thrillers, mystery crime stories, suspense fiction books, crime mystery authors, crime detective novels, mystery fiction stories, crime authors, crime mystery, classic thrillers, best detective thrillers, british crime thrillers, john grisham, john grisham new book release date, new john grisham book release date, ebook john grisham, john grisham pdf, john grisham ebooks, john grisham books pdf, john grisham epub, john grisham books download, john grisham books, free, freebie, bestseller, bestselling",Fiction,0.999074935913086,fear,0.9829378570318852,,
9781737158417,"Crime Exploded, A Buck Taylor Novel",Chuck Morgan,"The excitement and celebration of Christmas morning is shattered when numerous explosions occur around the state of Colorado. With the evidence pointing towards multiple bombs and as the death toll rises, Colorado Bureau of Investigation agent Buck Taylor and his team are dispatched to several crime scenes. Sifting through the wreckage, it’s up to them to determine if these bombings are the work of a mad bomber, terrorists, or home-grown extremists and if they are personal or politically motivated. And more importantly, will there be more? Making their jobs harder is an overzealous FBI agent with a personal agenda, who has taken over the investigations and will stop at nothing to prove he is right, and the evidence is wrong. In the end, he will put the lives of Buck’s entire team in jeopardy as they follow the evidence towards several shocking conclusions.",Fiction,0.9994198083877563,fear,0.8299341588267132,,
9780553393613,Sycamore Row,John Grisham,"#1 NEW YORK TIMES BESTSELLER • John Grisham returns to the iconic setting of his first novel, A Time to Kill, as Jake Brigance finds himself embroiled in a controversial trial that exposes a tortured history of racial tension. “Welcome back, Jake. . . . [Brigance] is one of the most fully developed and engaging characters in all of Grisham’s novels.”—USA Today Seth Hubbard is a wealthy white man dying of lung cancer. He trusts no one. Before he hangs himself from a sycamore tree, Hubbard leaves a new, handwritten will. It is an act that drags his adult children, his black maid, and defense attorney Jake Brigance into a conflict as riveting and dramatic as the murder trial that made Brigance one of Ford County’s most notorious citizens, just three years earlier. The second will raises many more questions than it answers. Why would Hubbard leave nearly all of his fortune to his maid? Had chemotherapy and painkillers affected his ability to think clearly? And what does it all have to do with a piece of land once known as Sycamore Row? Look for all of John Grisham’s gripping Jake Brigance novels: A Time to Kill Sycamore Row A Time for Mercy",Fiction,0.9995507001876832,fear,0.8946936991885498,,
9780375700125,As She Climbed Across the Table,Jonathan Lethem,"Deeply in love with physicist Alice Coombs, professor Philip Engstrand becomes involved in Alice's research into the creation of ""Lack,"" a conscious void in the universe that swallows up things it fancies",Fiction,0.9965839385986328,neutral,0.3662115466622395,,
9780375829635,Young Warriors,Tamora Pierce;Josepha Sherman,Fifteen original short stories by various authors relate the exploits of teenage warriors who defeat their enemies with cunning and skill as they strive to fulfill their destinies. Reprint.,Fiction,0.9992384314537048,neutral,0.8988173968408106,,
9780765343116,Pet Peeve,Piers Anthony,"Unlikely Goblin hero Goody is instructed by the Good Magician Humfrey to find a suitable home for a foul-tempered bird, a quest that inadvertently triggers an invasion by an army of seemingly indestructible killer robots and forces Goody to enlist the aid of a host of supernatural denizens. Reprint.",Fiction,0.9992078542709352,neutral,0.7971051559076763,,
9780140299960,Budding Prospects,T. Coraghessan Boyle,"Felix is a quitter, with a poor track record behind him. Until the day the opportunity presents itself to make half a million dollars tax-free - by nurturing 390 acres of cannabis in the lonely hills of northern California.",Fiction,0.9986952543258668,sadness,0.7656344876703928,,
,The Ridpath Library of Universal Literature,John Clark Ridpath,,Fiction,0.7260209321975708,neutral,0.7552082652503268,,
9780618391103,The Maps of Tolkien's Middle-earth,Brian Sibley,"Includes four posters depicting Tolkien's world of Middle-Earth with maps from The Hobbit, Beleriand, and Numenor, accompanied by a manual describing the signicance of geographical evolution in the author's works.",Fiction,0.9994068145751952,neutral,0.9345985843110746,,
,The Little French Girl,Anne Douglas Sedgwick,"In ""The Little French Girl,"" Anne Douglas Sedgwick weaves a poignant narrative that explores themes of identity, belonging, and the complexities of cultural assimilation. Set against the backdrop of early 20th-century Europe, the novel employs a rich, lyrical prose characterized by vivid imagery and a deep emotional resonance. Sedgwick masterfully delves into the intricacies of the human experience, balancing the charm of her characters with the stark realities of their lives, thereby creating a compelling tapestry that reflects the conflicts inherent in navigating dual cultural identities. Anne Douglas Sedgwick, an American author and translator, was deeply influenced by her own multicultural background and experiences living in both England and France. Born into a literary family, her exposure to diverse cultures and languages significantly shaped her worldview, allowing her to craft authentic representations of her characters' struggles. Sedgwick's keen observations and empathetic understanding of human nature inform her writing, resulting in a nuanced depiction of the immigrant experience and the delicate balance between tradition and modernity. This captivating work is highly recommended for readers interested in literary fiction that transcends geographical boundaries and offers profound insights into the immigrant experience. Sedgwick'Äôs exploration of cultural clashes and personal transformation resonates with contemporary discussions surrounding identity and belonging, making ""The Little French Girl"" a timeless and invaluable addition to any literary collection.",Fiction,0.9992236495018004,joy,0.5716818616261796,,
9780446673785,One L,Scott Turow,"Newsweek calls him ""an extraordinarily canny and empathetic observer."" In bestseller after bestseller, Turow uses his background as a lawyer to create suspense fiction so authentic it reads with the hammering impact of fact. But before he became a worldwide sensation, Scott Turow wrote a book that is entirely true, the account of his own searing indoctrination into the field of law called ... The first year of law school is an intellectual and emotional ordeal so grueling that it ensures only the fittest survive. Now Scott Turow takes you inside the oldest and most prestigious law school in the country when he becomes a ""One L,"" as entering students are known at Harvard Law School. In a book that became a national bestseller, a law school primer, and a classic autobiography, he brings to life the fascinating, shocking reality of that first year. Provocative and riveting, One L reveals the experience directly from the combat zone: the humiliations, triumphs, hazings, betrayals, and challenges that will make him a lawyer-and forever change Turow's mind, test his principles, and expose his heart.",Fiction,0.9872303605079652,fear,0.7693568592435259,,
9781250064424,The Year's Best Science Fiction: Thirty-Second Annual Collection,Gardner Dozois,"""The thirty-six stories in this collection imaginatively take us far across the universe, into the very core of our beings, to the realm of the gods, and the moment just after now""--Page 4 of cover.",Fiction,0.9996653199195862,joy,0.5207541187684568,,
