"comic_id","Title","Writer","Artist","Studio/Publisher","Release Year","Format","Theme (Color Style)","Genre","Country of Origin","Page Count","Rating (out of 10)","Status","Language","Age Rating","Awards","Volume Count"
"CMC-00022","Justice League: New 52","Len Wein","Len Wein","DC Comics","2007","Digital Single Issue","Full Color","Sci-Fi / Political Satire","USA","442","8.9","Completed","English","Young Adult","None","6"
"CMC-00023","Demon File","Gintoki Sakata","Ami Ueda","Square Enix (Yen Press)","2025","Single Issue / Tankobon","Full Color (Special Edition)","Historical / Drama","Japan","958","8.7","Completed","Japanese","Teen+","None","5"
"CMC-00024","Reborn King S-Class World","Song Ra","Song Ra","MangaToon","2023","Digital Webtoon","Full Color / Limited Palette","Martial Arts / Fantasy","South Korea","327","8.1","Completed","Korean","Mature 17+","None","20"
"CMC-00025","Eternal Shazam","Mike Baron","Mark Waid","DC (Vertigo)","2008","Single Issue","Full Color / Limited Palette","Horror / Fantasy","USA","592","9.2","Completed","English","Mature","Kodansha Manga Award Winner","5"
"CMC-00026","Zenith Warrior","Mitsuru Adachi","Shin Kato","Square Enix (Viz Media)","2018","Manga Volume","Black & White","Mystery / Thriller","Japan","3953","8.4","Completed","Japanese","Mature","None","45"
"CMC-00027","Last Purple","Seth","Kieron Gillen","Vault Comics","2020","OGN","Grayscale","Mystery / Thriller","USA","1649","8.1","Ongoing","English","Teen+","None","3"
"CMC-00028","Silent Tale","Rumiko Takahashi","Taro Nakamura","Shueisha (Viz Media)","2018","Tankobon","Black & White","Mystery / Thriller","Japan","2396","8.1","Hiatus","Japanese","Mature","Locus Award Winner","29"
"CMC-00029","Inhumans: War","Matt Fraction","Nick Spencer","Marvel Comics","2021","Single Issue","Full Color","Superhero / Psychological","USA","514","8.3","Completed","English","Young Adult","Japan Media Arts Award Winner","2"
"CMC-00030","Black Widow: Rebirth","J.M. DeMatteis","Tini Howard","Marvel Comics","2024","Hardcover","Full Color","Superhero / Thriller","USA","82","7.4","Cancelled","English","All Ages","Harvey Award Nominee","1"
"CMC-00031","Signal Shadow","Matt Fraction","David Aja","Image Comics","2023","Trade Paperback","Full Color","Horror / Thriller","New Zealand","545","7.7","Completed","English","Teen+","National Book Award Finalist","7"
"CMC-00032","Ghost King (Manhua)","Jiu Lu Fei Xiang","Jiu Lu Fei Xiang","Comico China","2024","Manhua Volume","Full Color (Digital)","Romance / Historical","China","1478","8.0","Ongoing","Chinese","Mature 17+","None","4"
"CMC-00033","Thunder Academy","Tomo Yoshimura","Hiroyuki Takei","Square Enix (Yen Press)","2020","Digital Manga","Black & White","Action / Historical","Japan","834","9.4","Ongoing","Japanese","Mature","None","38"
"CMC-00034","Silver Signal","G. Willow Wilson","Gene Luen Yang","Seven Seas Entertainment","2015","Digital Single Issue","Full Color / Limited Palette","Political / Drama","USA","2423","7.4","Completed","English","Teen+","Manga Taisho Award Winner","11"
"CMC-00035","Queen Void The Alliance","SIU","Nam Hyun-jun","Kakao / Yen Press","2023","Webtoon","Full Color (Digital)","Isekai / Action","South Korea / Japan","1873","8.4","Completed","Korean","Teen+","Eisner Award Winner","14"
"CMC-00036","Mountain Realm","Sora Fujimoto","Riku Mori","Kodansha (Kodansha USA)","2026","Manga Volume","Black & White","Shounen / Adventure","Japan","3753","7.4","Ongoing","Japanese","Teen+","None","34"
"CMC-00037","Savage Rogue","Chip Zdarsky","Charles Soule","Marvel Comics","2007","Trade Paperback","Full Color / Limited Palette","Superhero / Sci-Fi","USA","1044","8.8","Ongoing","English","All Ages","None","12"
"CMC-00038","Shadow Hero","Tai Ogata","Haruki Tanaka","Kodansha (Kodansha USA)","2017","Manga Volume","Grayscale","Sports / Action","Japan","5384","8.9","Ongoing","Japanese","Teen+","None","31"
"CMC-00039","Poison and Bone","G. Willow Wilson","G. Willow Wilson","Kodansha Comics","2000","Hardcover","Grayscale","Sci-Fi / Action","Australia","711","9.5","Completed","English","Mature 17+","None","4"
"CMC-00040","Blood Zero","Yori Maeda","Ryu Hashimoto","Shogakukan (Viz Media)","2020","Digital Manga","Grayscale","Dark Fantasy / Action","Japan","844","8.2","Ongoing","Japanese","Teen+","None","42"
"CMC-00041","Blood Legacy","Ryo Kondo","Hiro Watanabe","Kadokawa (Yen Press)","2014","Single Issue / Tankobon","Grayscale","Mystery / Thriller","Japan","6375","8.0","Ongoing","Japanese","Mature","None","42"
"CMC-00042","My Solo Warrior Alliance","Kim Lim","Kim Lim","Kakao Webtoon","2018","Webtoon","Full Color (Digital)","Hunter / Action","South Korea","461","8.2","Completed","Korean","Mature","None","16"
"CMC-00043","Tempest System","Ryo Kondo","Ryo Kondo","Shogakukan (Viz Media)","2014","Digital Manga","Grayscale","School / Romance","Japan","280","8.2","Hiatus","Japanese","Teen+","None","1"
"CMC-00044","Night Dream","Mika Sasaki","Riku Matsumoto","Futabasha","2022","Single Issue / Tankobon","Black & White","Shoujo / Romance","Japan","5302","8.2","Ongoing","Japanese","Teen+","Kodansha Manga Award Winner","26"
"CMC-00045","Radiant Partner","Rumiko Takahashi","Ryota Nakamura","Square Enix (Yen Press)","2024","Digital Manga","Black & White","Psychological / Thriller","Japan","781","8.4","Ongoing","Japanese","Teen+","Kodansha Manga Award Winner","12"
"CMC-00046","Lonely Place of Dying Zatanna","Scott Snyder","Mark Millar (DC)","DC Comics","2019","Digital Single Issue","Full Color","Superhero / Horror","USA","289","7.4","Cancelled","English","Mature 17+","None","6"
"CMC-00047","Mystère Signal In","Enki Bilal","Enki Bilal","Casterman / Fantagraphics","2006","Album","Full Color","Mythology / Fantasy","Germany","205","8.5","Completed","German","Mature","Eisner Award Nominee","1"
"CMC-00048","After Surge","Jonathan Hickman","Alan Moore","Fantagraphics Books","2023","OGN","Grayscale","Post-Apocalyptic / Action","Canada","264","9.1","Ongoing","English","Mature","None","5"
"CMC-00049","The Shadow Fire","Rick Remender","Rick Remender","CMX Manga","2017","Graphic Novel","Black & White","Adventure / Comedy","USA","855","7.8","Cancelled","English","All Ages","Locus Award Winner","5"
"CMC-00050","Justice Society: New 52","James Tynion IV","Frank Miller","DC (Wildstorm)","2016","Digital Single Issue","Full Color","Superhero / Noir","USA","531","8.0","Ongoing","English","Mature 17+","None","13"
"CMC-00051","King Evolution","Bae Joon-hyun","Yoon Bo-kyung","Kakao Webtoon","2025","Webtoon Chapter Collection","Full Color (Digital)","Dungeon / Action","South Korea","4675","8.7","Completed","Korean","Mature","Locus Award Winner","16"
"CMC-00052","Thunder History","Sara Ogawa","Sara Ogawa","Shueisha (Manga Plus)","2021","Digital Manga","Full Color (Special Edition)","Sports / Action","Japan","4796","7.6","Ongoing","Japanese","Mature","None","44"
"CMC-00053","Ancient Quest","Koji Kumeta","Koji Kumeta","Shogakukan (Viz Media)","2024","Manga Volume","Full Color (Special Edition)","Action / Historical","Japan","5306","7.9","Completed","Japanese","Young Adult","Manga Taisho Award Winner","27"
"CMC-00054","Desolate of Light","Ryo Kondo","Ryo Kondo","Akita Shoten","2010","Single Issue / Tankobon","Black & White","Isekai / Fantasy","Japan","407","8.7","Ongoing","Japanese","Teen+","None","38"
"CMC-00055","Villain Academy","Nam Ji","Choi Hyun-woo","MangaToon","2026","Webtoon Chapter Collection","Full Color / Limited Palette","Action / Fantasy","South Korea","3208","9.0","Hiatus","Korean","Mature 17+","Manga Taisho Award Winner","17"
"CMC-00056","Iron Resurrection","Gintoki Sakata","Ichigo Kurosaki style","Hakusensha (Dark Horse)","2007","Digital Manga","Black & White","Horror / Supernatural","Japan","4387","8.3","Completed","Japanese","Teen+","None","35"
"CMC-00057","Scattered Hunter","Fumi Takahashi","Fumi Takahashi","Square Enix (Viz Media)","2016","Manga Volume","Black & White","Mecha / Sci-Fi","Japan","5681","8.3","Cancelled","Japanese","Teen+","Manga Taisho Award Winner","26"
"CMC-00058","Dark Descent (Manhua)","Mao Ni","Mao Ni","Youku Comics","2005","Webtoon (Chinese)","Full Color (Digital)","Sci-Fi / Action","China","4151","7.4","Ongoing","Chinese","Teen+","None","10"
"CMC-00059","Eclipse X","Luffy style","Luffy style","Square Enix (Viz Media)","2019","Tankobon","Black & White","Shoujo / Romance","Japan","2830","8.7","Completed","Japanese","Mature","Manga Taisho Award Winner","15"
"CMC-00060","Siege of Captain Marvel","Al Ewing","Matt Fraction","Marvel Comics","2016","Single Issue","Full Color","Superhero / Horror","USA","1459","7.3","Completed","English","Teen+","None","4"
"CMC-00061","Sacred Memory","Mei Ito","Mei Ito","Shueisha (Manga Plus)","2005","Single Issue / Tankobon","Full Color (Special Edition)","Mecha / Sci-Fi","Japan","5640","8.2","Hiatus","Japanese","Teen+","None","26"
"CMC-00062","Infinity West Coast Avengers","Cullen Bunn","J. Michael Straczynski","Marvel Comics","2003","Graphic Novel","Full Color","Superhero / Political","USA","375","7.9","Ongoing","English","Mature 17+","Hugo Award Winner","9"
"CMC-00063","Shattered Vision","Tite Kubo","Kira Matsuda","Akita Shoten","2008","Manga Volume","Black & White","Romance / Comedy","Japan","4293","9.3","Completed","Japanese","Teen+","None","4"
"CMC-00064","The Flash: Heart of Hush","Kelly Thompson (DC)","Dennis O'Neil","DC (Black Label)","2025","Hardcover","Full Color","Superhero / Sci-Fi","USA","892","7.3","Completed","English","Young Adult","None","14"
"CMC-00065","Dark Cyclops","Mark Millar","Matt Fraction","Marvel Comics","2020","Omnibus","Full Color","Superhero / Mythology","USA","1262","7.3","Completed","English","Teen+","Eisner Award Winner","14"
"CMC-00066","Earth Las Premier Glass","Joann Sfar","Enki Bilal","Dargaud / Dark Horse","2008","Album","Black & White","War / Historical","Italy","170","8.3","Completed","French","Mature 17+","National Book Award Finalist","2"
"CMC-00067","Or Orange Bronze","Christophe Blain","Christophe Blain","Ankama / Oni Press","2011","Album","Black & White","Sci-Fi / Drama","Belgium","236","7.4","Ongoing","French","Mature","None","1"
"CMC-00068","Savage Zero","Ken Goto","Kenji Ishikawa","Square Enix (Viz Media)","2015","Manga Volume","Grayscale","Horror / Supernatural","Japan","6255","8.5","Completed","Japanese","Young Adult","Kodansha Manga Award Winner","27"
"CMC-00069","Nadir Gate","Hana Yamashita","Aya Shimizu","Houbunsha","2023","Manga Volume","Black & White","School / Romance","Japan","5833","8.3","Ongoing","Japanese","Teen+","None","35"
"CMC-00070","Star Blade","Haruki Tanaka","Haruki Tanaka","Square Enix (Yen Press)","2026","Digital Manga","Full Color (Special Edition)","Isekai / Fantasy","Japan","2023","8.1","Hiatus","Japanese","Teen+","None","20"
"CMC-00071","Dark Story","Akio Hayashi","Akio Hayashi","Square Enix (Viz Media)","2006","Single Issue / Tankobon","Black & White","Horror / Supernatural","Japan","6287","8.0","Hiatus","Japanese","Mature","None","10"
"CMC-00072","Day Kingdom","Daisuke Imai","Daisuke Imai","Hakusensha (Dark Horse)","2010","Digital Manga","Black & White","Cooking / Slice of Life","Japan","6737","8.0","Ongoing","Japanese","Teen+","None","33"
"CMC-00073","After Silk","Frank Miller","Frank Miller","IDW Publishing","2009","Graphic Novel","Grayscale","Horror / Thriller","UK","2268","7.9","Hiatus","English","Mature","None","2"
"CMC-00074","Guardians of the Galaxy: War","Roger Stern","Mark Waid","Marvel Comics","2002","Digital Single Issue","Full Color","Superhero / Horror","USA","1135","8.4","Completed","English","Mature","Manga Taisho Award Winner","7"
"CMC-00075","Fire Road","James Tynion IV","G. Willow Wilson","Image Comics","2026","Trade Paperback","Full Color","Supernatural / Horror","Canada","694","6.9","Hiatus","English","All Ages","None","5"
"CMC-00076","Zenith Villain","Mio Hayashi","Haruki Tanaka","Leed-sha","2018","Tankobon","Grayscale","Action / Sci-Fi","Japan","3130","7.7","Completed","Japanese","Teen+","None","12"
"CMC-00077","Wood Broken","Antoine Ozanam","Antoine Ozanam","Bamboo Edition","2011","Album","Full Color","Mythology / Fantasy","Belgium","140","7.2","Completed","French","Mature","None","5"
"CMC-00078","Boundless of the Gods","Akira Toriyama","Ren Kobayashi","Shogakukan (Viz Media)","2021","Manga Volume","Black & White","Mecha / Sci-Fi","Japan","4427","8.9","Cancelled","Japanese","Teen+","None","17"
"CMC-00079","Wind Clan","Ken Goto","Ken Goto","Shueisha (Viz Media)","2013","Tankobon","Full Color (Special Edition)","Mystery / Thriller","Japan","3683","8.3","Completed","Japanese","Teen+","Harvey Award Nominee","24"
"CMC-00080","Endless Record (Manhua)","Liu Zhong Yuan","Liu Zhong Yuan","Kuaikan Comics","2022","Manhua Volume","Full Color","Horror / Supernatural","China","798","7.9","Ongoing","Chinese","Teen+","None","1"
"CMC-00081","Hope Clay","Frank Quitely","Frank Quitely","Image Comics","2007","Hardcover","Full Color","Steampunk / Adventure","New Zealand","452","8.4","Ongoing","English","Mature","None","7"
"CMC-00082","New 52 Booster Gold","Joshua Williamson","Jeremy Adams","DC (Wildstorm)","2010","Single Issue","Full Color / Limited Palette","Superhero / Thriller","USA","333","7.9","Ongoing","English","Teen+","None","1"
"CMC-00083","Red Hood: Crisis","Neil Gaiman","Alan Moore","DC (Vertigo)","2024","Trade Paperback","Full Color","Superhero / Horror","USA","327","7.2","Cancelled","English","Teen+","None","10"
"CMC-00084","Heaven Fate","Ryo Kondo","Ryo Kondo","Shueisha (Viz Media)","2016","Tankobon","Grayscale","Historical / Drama","Japan","6733","8.6","Completed","Japanese","Mature","None","42"
"CMC-00085","Death of Jean Grey","Brian Michael Bendis","Matt Fraction","Marvel Comics","2002","Hardcover","Full Color","Superhero / Horror","USA","1373","8.5","Completed","English","Mature","Harvey Award Winner","1"
"CMC-00086","Sealed Companion","Yuna Yamaguchi","Yuna Yamaguchi","Kadokawa (Yen Press)","2022","Single Issue / Tankobon","Black & White","Sci-Fi / Adventure","Japan","2652","8.2","Cancelled","Japanese","Teen+","Eagle Award Winner","21"
"CMC-00087","80-Page Giant Red Hood","Al Ewing (DC)","Warren Ellis","DC Comics","2026","Digital Single Issue","Full Color","Western / Supernatural","USA","1011","7.6","Ongoing","English","Mature","None","4"
"CMC-00088","Iron Gate","Gintoki Sakata","Gintoki Sakata","Shogakukan (Viz Media)","2019","Single Issue / Tankobon","Black & White","Sports / Action","Japan","4625","8.0","Completed","Japanese","Mature 17+","None","30"
"CMC-00089","The Pulse Code","Ngozi Ukazu","Ngozi Ukazu","Dark Horse Comics","2012","Graphic Novel","Watercolor","Western / Action","UK","2376","8.5","Completed","English","Teen+","Manga Taisho Award Winner","10"
"CMC-00090","Hunter Thunder Commander Party","Writer J","Writer J","Webtoon Originals","2016","Webtoon Chapter Collection","Full Color (Pastel)","Office / Romance","South Korea","3450","9.3","Hiatus","Korean","Young Adult","None","3"
"CMC-00091","Golden Spirit","Jiro Saito","Akane Nakagawa","Houbunsha","2011","Manga Volume","Grayscale","Fantasy / Adventure","Japan","3747","8.4","Hiatus","Japanese","Mature","None","10"
"CMC-00092","Iron Player","Ryo Kondo","Daisuke Moriyama","Akita Shoten","2023","Manga Volume","Grayscale","Action / Sci-Fi","Japan","1560","7.8","Completed","Japanese","Young Adult","Kodansha Manga Award Winner","1"
"CMC-00093","Savage Guild","Kazushi Hagiwara","Keigo Yamada","Houbunsha","2013","Single Issue / Tankobon","Black & White","Action / Supernatural","Japan","1851","8.6","Completed","Japanese","Mature 17+","None","45"
"CMC-00094","Dead Purple","Jonathan Hickman","Sean Murphy","Papercutz","2014","Hardcover","Black & White","Fantasy / Drama","UK","445","7.6","Completed","English","Mature","National Book Award Finalist","9"
"CMC-00095","Only Road","Robert Kirkman","Noelle Stevenson","Manga","2026","Digital Single Issue","Black & White","Crime / Thriller","USA","245","7.9","Cancelled","English","Teen+","National Book Award Finalist","3"
"CMC-00096","Queen Commander Gate","Carnby Kim","Carnby Kim","KakaoPage","2026","Webtoon","Full Color (Digital)","Manhwa / Action","South Korea","4248","8.9","Completed","Korean","Mature","None","1"
"CMC-00097","Blazing Hero","Luffy style","Goku style","Shueisha (Viz Media)","2011","Tankobon","Grayscale","Action / Fantasy","Japan","4501","8.6","Completed","Japanese","Mature","Eisner Award Winner","40"
"CMC-00098","Violet Legend","Jiro Saito","Gintoki Sakata","Shueisha (Manga Plus)","2021","Tankobon","Full Color (Special Edition)","Comedy / Slice of Life","Japan","1852","9.0","Completed","Japanese","Teen+","None","29"
"CMC-00099","Ice Contract","Kenji Ishikawa","Nana Inoue","Shogakukan (Viz Media)","2015","Digital Manga","Grayscale","Isekai / Fantasy","Japan","6155","8.9","Completed","Japanese","Teen+","None","18"
"CMC-00100","Commander Comeback","Manhwaga K","Manhwaga K","Tapas Media","2018","Webtoon","Full Color (Digital)","Dungeon / Action","South Korea / Japan","2352","7.8","Completed","Korean","Mature","None","10"
"CMC-00101","Blood Road","Jason Aaron","Jason Aaron","Dark Horse Manga","2026","Digital Single Issue","Full Color","Western / Action","USA","1229","8.2","Ongoing","English","Teen+","None","4"
"CMC-00102","Long Halloween Suicide Squad","Tom Taylor","Dan Watters","DC Comics","2002","Graphic Novel","Full Color","Superhero / Mythology","USA","946","7.5","Ongoing","English","Teen+","Eisner Award Winner","3"
"CMC-00103","Noise Road","Kat Leyh","Kat Leyh","First Second Books","2018","Hardcover","Black & White","Supernatural / Horror","USA","345","7.7","Ongoing","English","Teen+","None","9"
"CMC-00104","Fire Ascending","Sasuke Uchiha style","Takashi Yamamoto","Shueisha (Viz Media)","2014","Single Issue / Tankobon","Full Color (Special Edition)","Isekai / Fantasy","Japan","1473","7.3","Ongoing","Japanese","Mature","None","36"
"CMC-00105","Silver Origin","Zoro style","Sora Fujimoto","Square Enix (Viz Media)","2025","Tankobon","Black & White","Action / Supernatural","Japan","2608","8.5","Hiatus","Japanese","Young Adult","Angouleme Award Winner","20"
"CMC-00106","Necromancer Paladin Reborn Revenge","Lim Tae-yang","Lee Dae","KakaoPage","2023","Webtoon Chapter Collection","Full Color (Digital)","Sports / Action","South Korea","3288","8.7","Completed","Korean","Young Adult","Kodansha Manga Award Winner","17"
"CMC-00107","Wild Heart","Fumi Takahashi","Fumi Takahashi","Houbunsha","2026","Tankobon","Black & White","Gaming / Comedy","Japan","3629","8.6","Ongoing","Japanese","Teen+","None","38"
"CMC-00108","Blood Empire","Naruto Uzumaki style","Akio Hayashi","Kodansha (Kodansha USA)","2023","Single Issue / Tankobon","Black & White","Sports / Action","Japan","2960","8.4","Ongoing","Japanese","Teen+","None","23"
"CMC-00109","S-Class Knight Tyrant System","Oh Jae-won","Oh Jae-won","Lezhin Comics","2020","Digital Webtoon","Full Color / Limited Palette","Dungeon / Action","South Korea","839","8.4","Ongoing","Korean","Mature","Hugo Award Winner","1"
"CMC-00110","Sacred Claw","Aya Shimizu","Naruto Uzumaki style","Ichijinsha","2022","Single Issue / Tankobon","Black & White","Gaming / Comedy","Japan","4862","8.2","Ongoing","Japanese","Mature","None","22"
"CMC-00111","Velvet Ancien For Argent","Lewis Trondheim","Hunt Emerson","Casterman / Fantagraphics","2008","Album","Black & White","Spy / Thriller","Italy","189","6.5","Completed","French","Mature","Japan Media Arts Award Winner","3"
"CMC-00112","After Smoke","Noelle Stevenson","Noelle Stevenson","First Second Books","2008","Digital Single Issue","Black & White","Magical Realism / Drama","New Zealand","877","8.1","Completed","English","Mature","Eisner Award Nominee","3"
"CMC-00113","Joker: Haunted Knight","Alan Moore","Dennis O'Neil","DC (Vertigo)","2017","Graphic Novel","Full Color","Superhero / Noir","USA","356","8.1","Ongoing","English","Young Adult","Eisner Award Winner","5"
"CMC-00114","Martian Manhunter: Year One","Tom King","Arnold Drake","DC (Black Label)","2022","Trade Paperback","Full Color","Western / Supernatural","USA","1666","7.5","Completed","English","Mature","None","7"
"CMC-00115","Wild Academy","Zenko Fujiwara","Zenko Fujiwara","Square Enix (Yen Press)","2022","Tankobon","Full Color (Special Edition)","Mecha / Sci-Fi","Japan","4434","8.8","Completed","Japanese","Teen+","Eisner Award Winner","16"
"CMC-00116","Spirit King","Riku Mori","Riku Mori","Leed-sha","2006","Manga Volume","Black & White","Josei / Romance","Japan","2194","7.7","Ongoing","Japanese","Young Adult","None","40"
"CMC-00117","Warrior Rising","Shin Hyun","Moon Da","Comico Korea","2008","Digital Webtoon","Full Color (Digital)","Drama / Romance","South Korea","1429","9.2","Completed","Korean","Mature","Angouleme Award Winner","6"
"CMC-00118","Legendary Knight Counterattack","Park Ji-hoon","Park Ji-hoon","KakaoPage","2024","Webtoon","Full Color / Limited Palette","Romance / Fantasy","South Korea","305","7.6","Completed","Korean","Teen+","None","16"
"CMC-00119","Echo: Return of","J.M. DeMatteis","Fraction","Marvel Comics","2002","Omnibus","Full Color / Limited Palette","Superhero / Sci-Fi","USA","124","8.1","Completed","English","Teen+","Manga Taisho Award Winner","9"
"CMC-00120","Shazam: Dark","Tom King","James Tynion IV","DC Comics","2007","Single Issue","Full Color","Horror / Fantasy","USA","1035","7.5","Completed","English","Teen+","None","12"
"CMC-00121","The Earth Pulse","Greg Rucka","Greg Rucka","Bad Idea","2007","OGN","Grayscale","Sci-Fi / Action","USA","787","6.0","Completed","English","Mature","Eagle Award Winner","6"
"CMC-00122","Amber Hero","Aiko Sato","Luna Aoyama","Square Enix (Viz Media)","2011","Manga Volume","Black & White","Dark Fantasy / Action","Japan","1386","8.1","Completed","Japanese","Mature","Harvey Award Winner","45"
"CMC-00123","Animal Man: Dark City","Mike Baron","Grant Morrison","DC (Wildstorm)","2010","Graphic Novel","Full Color","Superhero / Noir","USA","464","8.5","Completed","English","Teen+","Angouleme Award Winner","13"
"CMC-00124","Thunder Journey","Kentaro Yabuki","Kentaro Yabuki","Hakusensha (Dark Horse)","2021","Manga Volume","Full Color (Special Edition)","Romance / Comedy","Japan","1205","7.8","Completed","Japanese","Teen+","None","4"
"CMC-00125","Gambit: Extraordinary","Chip Zdarsky","Fred Van Lente","Marvel Comics","2019","Hardcover","Full Color","Superhero / Coming of Age","USA","1232","7.7","Ongoing","English","Mature","None","2"
"CMC-00126","X-Force: Last Stand of","Ta-Nehisi Coates","Jonathan Hickman","Marvel Comics","2007","Trade Paperback","Full Color / Limited Palette","Superhero / Political","USA","1243","8.3","Ongoing","English","Teen+","None","13"
"CMC-00127","Amber Guild","Zenko Fujiwara","Hiroshi Araya","Square Enix (Yen Press)","2011","Digital Manga","Black & White","Action / Historical","Japan","6531","8.8","Hiatus","Japanese","Mature","None","26"
"CMC-00128","Reborn Thunder Order","Lim Bo","Yoon Bo-kyung","MangaToon","2015","Webtoon Chapter Collection","Full Color / Limited Palette","Romance / Fantasy","South Korea","4488","7.3","Completed","Korean","Teen+","Harvey Award Winner","8"
"CMC-00129","Lost City","David Aja","Guy Delisle","AWA Studios","2018","Digital Single Issue","Full Color","Political / Drama","UK","1468","8.0","Completed","English","Teen+","None","6"
"CMC-00130","Rogue: All-New","Rick Remender","Jordan White","Marvel Comics","2016","Graphic Novel","Full Color","Superhero / Sci-Fi","USA","524","8.1","Completed","English","Young Adult","Harvey Award Winner","7"
"CMC-00131","Punisher: Death of","Jason Aaron","Jeff Parker","Marvel Comics","2019","Omnibus","Full Color / Limited Palette","Superhero / Horror","USA","379","8.5","Ongoing","English","Mature","None","6"
